label,x,y,plot_type,plot_num
ACB,0.0,138482.84333082315,path,0
ACB,50.0,138482.84333082315,path,0
ACB,53.97505585700569,139331.82583178935,path,0
ACB,58.2661330953377,140106.8581070371,path,0
ACB,62.898355767851555,140788.65200943212,path,0
ACB,67.89884531767208,141367.77275206798,path,0
ACB,73.29687937295081,141951.70237102144,path,0
ACB,79.12406316598458,142466.82599528966,path,0
ACB,85.41451458034526,142772.26839735045,path,0
ACB,92.20506390946325,142741.18264244564,path,0
ACB,99.53546949624113,142389.9804698026,path,0
ACB,107.44865051625804,141805.87253393632,path,0
ACB,115.99093826749824,141075.57427354966,path,0
ACB,125.21234743789435,139997.28591058607,path,0
ACB,135.16686893894297,138255.75538697912,path,0
ACB,145.9127860199203,135980.55665323357,path,0
ACB,157.5130155135303,133277.50034082896,path,0
ACB,170.03547621096405,129389.56421216192,path,0
ACB,183.55348652318696,124324.23697417811,path,0
ACB,198.1461937567431,118600.98842923628,path,0
ACB,213.89903751746564,112479.29715594859,path,0
ACB,230.90424995529918,105260.60757010242,path,0
ACB,249.26139577914557,97490.6316957557,path,0
ACB,269.0779552034918,89814.12829128013,path,0
ACB,290.4699532399469,82280.92274833683,path,0
ACB,313.5626390181592,74604.40638306519,path,0
ACB,338.491219113505,67456.81425291787,path,0
ACB,365.4016491751477,61307.194281076394,path,0
ACB,394.451488489412,55802.88001045403,path,0
ACB,425.810822481901,50853.66269394064,path,0
ACB,459.6632585595627,46774.09831240355,path,0
ACB,496.20700112331303,43709.71592880351,path,0
ACB,535.656012045362,41172.51205044888,path,0
ACB,578.2412634057866,39081.03688797832,path,0
ACB,624.2120898230575,37497.08124472939,path,0
ACB,673.8376482963555,36395.51079082404,path,0
ACB,727.4084941069829,35527.01387924294,path,0
ACB,785.2382820056956,34827.820131595996,path,0
ACB,847.6656026463322,34255.7539300448,path,0
ACB,915.0559650179637,33717.85997257438,path,0
ACB,987.8039364826163,33221.20954381236,path,0
ACB,1066.3354529483865,32881.536581053486,path,0
ACB,1151.1103127038925,32807.78431260256,path,0
ACB,1242.6248685153575,32994.83003989053,path,0
ACB,1341.4149337484155,33344.85400554422,path,0
ACB,1448.0589195298467,33764.36814150804,path,0
ACB,1563.1812213171752,34240.29250615595,path,0
ACB,1687.4558747043382,34967.225677476024,path,0
ACB,1821.6105018679805,35685.714893907134,path,0
ACB,1966.4305717606485,36061.34266556271,path,0
ACB,2122.7639989940935,35414.748867912334,path,0
ACB,2291.5261083389382,34355.0472962954,path,0
ACB,2473.704993907622,33253.22346496349,path,0
ACB,2670.367304398355,32044.22550589607,path,0
ACB,2882.6644882724595,30780.5954130703,path,0
ACB,3111.8395354302547,29508.9558362269,path,0
ACB,3359.2342548577317,28269.53320727447,path,0
ACB,3626.2971308542596,27096.286870393134,path,0
ACB,3914.5918038391633,26017.505507953567,path,0
ACB,4225.806225391909,25056.744144072723,path,0
ACB,4561.762541128213,24234.00044046316,path,0
ACB,4924.427759275832,23567.062551390874,path,0
ACB,5315.925267414049,23072.999029056176,path,0
ACB,5738.54726480682,22769.80291118062,path,0
ACB,6194.768183120307,22681.176059032714,path,0
ACB,6687.259174102405,23153.323591355744,path,0
ACB,7218.903749049023,24232.765302904776,path,0
ACB,7792.814661625377,25660.0065281294,path,0
ACB,8412.352132890444,27126.701572068025,path,0
ACB,9081.143525231257,28251.78850167443,path,0
ACB,9803.104580396855,28616.27289695425,path,0
ACB,10582.462345979773,28564.412127044372,path,0
ACB,11423.779924578355,28448.53485429515,path,0
ACB,12331.98319054513,28289.08629422424,path,0
ACB,13312.389630746577,28106.343406407344,path,0
ACB,14370.739478195399,27873.05694554656,path,0
ACB,15513.22932084147,27535.925195136675,path,0
ACB,16746.54838229914,27126.05782381974,path,0
ACB,18077.91768693289,26664.35833062441,path,0
ACB,19515.13233861106,26081.892322663825,path,0
ACB,21066.6071606678,25405.53969295251,path,0
ACB,22741.42596429282,24669.239819772614,path,0
ACB,24549.394733813293,23825.202112500036,path,0
ACB,26501.099040265082,22942.371067845295,path,0
ACB,28607.966019406926,22024.243090984965,path,0
ACB,30882.3312770562,21099.73793664855,path,0
ACB,33337.51111347325,20177.54849835184,path,0
ACB,35987.88048966534,19329.276564969605,path,0
ACB,38848.95719209864,18571.676581276464,path,0
ACB,41937.492688598955,17965.721370572934,path,0
ACB,45271.57020739788,17509.592040425046,path,0
ACB,48870.71061357312,17187.05377083949,path,0
ACB,52755.98670278341,17007.61159747899,path,0
ACB,56950.14658148369,16924.68443736376,path,0
ACB,61477.74685600489,17118.351823174573,path,0
ACB,66365.29641031433,17455.02597168459,path,0
ACB,71641.41161426912,17844.027414050557,path,0
ACB,77336.98387109826,18412.471482884896,path,0
ACB,83485.36048509754,19408.187247411068,path,0
ACB,90122.53990850793,20959.43140840318,path,0
ACB,97287.38251073883,23058.569473392425,path,0
